participant_id,gender,age,year in program,pap_1,mav_5,map_1,mav_1,pav_1,pap_2,map_2,mav_2,pav_2,pap_3,mav_6,map_3,mav_3,pav_3,pap_4,map_4,mav_7,mav_4,pav_4,engage_1,exh_1_RC,engage_2,engage_3,engage_4,exh_2_RC,exh_6_RC,exh_8,exh_3,engage_5_RC,exh_5,engage_6_RC,engage_7_RC,exh_7,engage_8_RC,exh_4_RC,sc_1_RC,sc_2,sc_3,sc_4_RC,sc_5,sc_6,sc_7,sc_8_RC,sc_9_RC,sc_10,sc_11_RC,sc_12_RC,auto_1,auto_2,auto_3,auto_4,compet_1,compet_2,compet_3,compet_4,relat_1,relat_2,relat_3,relat_4,exercise_mild,exercise_mod,exercise_str,auto,compet,engage,exercise,exh,map,mav,pap,pav,relat,sc
48,female,25-29,2,5,5,5,7,3,2,5,2,5,2,3,5,5,3,2,6,2,2,3,4,2,2,3,3,2,3,2,2,3,2,3,3,4,3,2,4,4,4,4,4,2,4,2,2,3,3,4,4,4,5,3,4,5,5,5,4,2,4,4,3,2,1,16,19,24,6,19,21,26,11,14,14,40
49,male,20-24,2,4,5,3,2,2,1,6,3,1,1,5,6,5,1,1,7,5,1,1,3,2,4,4,2,3,4,4,3,4,4,4,4,4,3,3,2,3,4,3,5,4,2,3,5,1,2,3,2,5,3,1,5,2,5,2,1,6,6,6,3,1,1,11,14,28,5,27,22,26,7,5,19,37
50,male,20-24,2,5,5,3,6,4,1,7,4,2,1,3,6,5,1,3,5,6,2,1,3,2,4,4,3,4,3,3,4,3,3,4,3,4,3,2,3,4,4,3,4,4,4,3,4,3,2,4,5,5,6,5,5,4,5,5,5,4,4,6,3,2,1,21,19,27,6,25,21,31,10,8,19,42
51,female,20-24,2,6,5,6,5,5,6,6,2,5,6,4,6,3,2,6,6,3,3,3,3,2,4,3,3,3,2,3,3,3,3,3,3,3,3,2,3,4,4,4,4,4,4,4,4,4,3,2,4,4,5,4,5,5,5,5,5,5,5,5,2,1,1,17,20,25,4,21,24,25,24,15,20,44
52,not listed,25-29,2,3,3,5,6,5,5,5,4,2,2,5,5,4,2,2,5,3,4,6,3,3,3,3,2,3,3,3,3,2,3,2,2,4,3,2,2,3,4,2,2,3,3,2,2,4,2,2,4,5,5,5,5,4,5,5,4,4,4,4,1,0,1,19,19,20,2,24,20,29,12,15,16,31
53,male,20-24,2,2,2,3,7,5,5,5,5,5,3,3,5,5,3,3,6,5,5,5,3,2,3,3,3,2,2,2,2,3,2,3,3,3,2,2,2,4,3,2,2,4,4,3,2,4,2,2,4,4,5,5,5,4,5,4,5,4,5,5,2,1,1,18,18,23,4,17,19,32,13,18,19,34
54,male,20-24,2,4,3,5,4,2,5,7,4,2,5,1,7,1,1,3,4,4,1,2,2,2,1,2,1,4,2,4,4,1,4,3,1,4,1,1,2,2,4,1,2,2,4,2,3,2,2,2,3,4,6,5,4,5,6,6,4,5,5,4,1,1,2,18,21,12,4,25,23,18,17,7,18,28
55,male,20-24,2,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,3,2,3,4,4,1,2,4,4,1,4,1,1,4,1,1,2,4,4,2,4,4,4,2,2,4,2,2,4,4,4,4,4,4,5,4,4,4,4,4,1,1,1,16,17,18,3,22,20,36,21,20,16,36
56,male,25-29,2,7,7,6,5,4,5,5,5,5,6,5,5,2,3,3,6,6,4,4,4,1,4,3,3,1,1,4,4,1,2,3,3,3,1,1,3,3,3,3,3,3,4,2,2,4,3,3,6,6,6,5,6,6,6,6,6,6,6,6,0,0,0,23,24,22,0,17,22,34,21,16,24,36
57,male,25-29,2,7,4,7,5,1,6,7,5,1,6,3,7,2,1,5,7,2,1,1,3,2,4,4,2,3,2,3,3,2,3,3,3,4,2,2,1,5,4,1,3,4,5,2,1,2,1,1,3,5,5,3,5,6,6,4,3,4,4,5,2,1,2,16,21,23,5,22,28,22,24,4,16,30
